disaster_number,historic,classification_key,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,event_name,iso_code,country,subregion,region,location,origin,associated_types,ofda_bha_response,appeal,declaration,magnitude,magnitude_scale,start_year,start_month,start_day,end_year,end_month,end_day,total_deaths,num_injured,num_affected,num_homeless,total_affected,insured_damage_000s_usd,insured_damage_adjusted_000s_usd,total_damage_000s_usd,total_damage_adjusted_000s_usd,cpi,entry_date,last_update,start_date,end_date,days_lasted
2000-0450-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,Alaska province,,,No,No,No,2363.0,Km2,2000,7,1,2000,7,1,,,,,,,,,,56.51429055927763,2003-07-01,2023-09-25,2000-07-01,2000-07-01,0
2000-0463-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Granite Falls city (Yellow Medicine, Minnesota province)",,,No,No,No,,Kph,2000,7,25,2000,7,25,1.0,15.0,900.0,120.0,1035.0,,,8100.0,14333.0,56.51429055927763,2003-07-01,2023-09-25,2000-07-25,2000-07-25,0
2000-0465-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Arizona, California, Colorado, Idaho, Montana, Nevada, New Mexico, Oregon, South Dakota, Texas, Utah, Washington, Wyoming, Florida, North Dakota provinces",,,No,No,No,680000.0,Km2,2000,7,1,2000,8,1,14.0,,1000.0,,1000.0,,,1000000.0,1769464.0,56.51429055927763,2007-08-27,2023-09-25,2000-07-01,2000-08-01,31
2000-0500-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Morris, Sussex districts (New Jersey province)",Heavy rain,"Slide (land, mud, snow, rock)",No,No,No,,Km2,2000,8,12,2000,8,14,,,175.0,,175.0,,,166000.0,293731.0,56.51429055927763,2006-02-23,2023-09-25,2000-08-12,2000-08-14,2
2000-0502-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,USA,United States of America,Northern America,Americas,Pennsylvania province,,,No,No,No,,Km2,2000,7,30,2000,7,30,,,300.0,,300.0,,,,,56.51429055927763,2003-07-01,2023-09-25,2000-07-30,2000-07-30,0
2000-0598-USA,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,USA,United States of America,Northern America,Americas,"Near Yountville city (Napa district, California province)",,,No,No,No,4.9,Moment Magnitude,2000,9,3,2000,9,3,,70.0,25000.0,104.0,25174.0,,,50000.0,88473.0,56.51429055927763,2005-04-17,2023-09-25,2000-09-03,2000-09-03,0
2000-0614-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Xenia city (Greene district, Ohio province)",,,No,No,No,,Kph,2000,9,20,2000,9,20,1.0,115.0,,,115.0,62500.0,110591.0,90000.0,159252.0,56.51429055927763,2003-07-01,2023-09-25,2000-09-20,2000-09-20,0
2000-0652-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Leslie,USA,United States of America,Northern America,Americas,"Miami-Dade, Monroe, Broward, Collier districts (Florida province)",,,No,No,No,,Kph,2000,10,4,2000,10,4,2.0,,14418.0,3015.0,17433.0,,,219000.0,387513.0,56.51429055927763,2003-07-01,2023-09-25,2000-10-04,2000-10-04,0
2000-0756-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"Buffalo city (Erie district, New York province)",,,No,No,No,,Kph,2000,11,20,2000,11,20,,,,,,,,,,56.51429055927763,2003-07-01,2023-09-25,2000-11-20,2000-11-20,0
2000-0838-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"Texas, Oklahoma, New Mexico, Arkansas, Missouri, Minnesota provinces",,Transport accident,No,No,No,,Kph,2000,12,24,2000,12,24,57.0,34.0,,,34.0,200500.0,354778.0,,,56.51429055927763,2003-07-01,2023-09-25,2000-12-24,2000-12-24,0
