disaster_number,historic,classification_key,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,event_name,iso_code,country,subregion,region,location,origin,associated_types,ofda_bha_response,appeal,declaration,magnitude,magnitude_scale,start_year,start_month,start_day,end_year,end_month,end_day,total_deaths,num_injured,num_affected,num_homeless,total_affected,insured_damage_000s_usd,insured_damage_adjusted_000s_usd,total_damage_000s_usd,total_damage_adjusted_000s_usd,cpi,entry_date,last_update,start_date,end_date,days_lasted
2006-0257-USA,No,nat-met-sto-lig,Natural,Meteorological,Storm,Lightning/Thunderstorms,,USA,United States of America,Northern America,Americas,"Tarrant, Bexar districts (Texas province)",,Hail,No,No,No,,Kph,2006,5,1,2006,5,7,1.0,,600.0,,600.0,400000.0,604592.0,450000.0,680166.0,66.16033056179792,2007-03-18,2023-09-25,2006-05-01,2006-05-07,6
2006-0260-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"New Hampshire, Maine, Massachusetts provinces",Heavy rains,Rain,No,No,Yes,42910.0,Km2,2006,5,11,2006,5,22,2.0,,2500.0,,2500.0,62500.0,94467.0,85000.0,128476.0,66.16033056179792,2007-01-05,2023-09-25,2006-05-11,2006-05-22,11
2006-0341-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Maryland, Pennsylvania, New York, Delaware, Virginia, New Jersey provinces","Heavy rain, thunderstoms","Slide (land, mud, snow, rock)",No,No,No,122600.0,Km2,2006,6,25,2006,7,1,11.0,,65000.0,,65000.0,401000.0,606103.0,1000000.0,1511480.0,66.16033056179792,2007-03-09,2023-09-25,2006-06-25,2006-07-01,6
2006-0344-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Huron, Erie, Crawford, Lucas, Sandusky districts (Ohio province)",Severe storms,,No,No,No,6780.0,Km2,2006,6,22,2006,6,25,2.0,,2400.0,,2400.0,,,7000.0,10580.0,66.16033056179792,2007-01-06,2023-09-25,2006-06-22,2006-06-25,3
2006-0374-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,USA,United States of America,Northern America,Americas,California province,,,No,No,Yes,350.0,Km2,2006,7,9,2006,7,14,1.0,17.0,,150.0,167.0,,,16000.0,24184.0,66.16033056179792,2006-07-20,2023-09-25,2006-07-09,2006-07-14,5
2006-0387-USA,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,USA,United States of America,Northern America,Americas,"Modesto city (Stanislaus district, California province)",,,No,No,No,50.0,°C,2006,7,14,2006,8,15,164.0,,,,,,,,,66.16033056179792,2007-03-18,2023-09-25,2006-07-14,2006-08-15,32
2006-0413-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,El Paso district (Texas province),Heavy rain,,No,No,No,3610.0,Km2,2006,7,27,2006,8,7,,,,,,,,100000.0,151148.0,66.16033056179792,2007-01-06,2023-09-25,2006-07-27,2006-08-07,11
2006-0418-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,Lake district (Ohio province),Heavy rain,,No,No,No,4720.0,Km2,2006,7,27,2006,7,30,1.0,,600.0,,600.0,,,,,66.16033056179792,2007-01-07,2023-09-25,2006-07-27,2006-07-30,3
2006-0427-USA,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,USA,United States of America,Northern America,Americas,New York province,,,No,No,Yes,44.0,°C,2006,7,30,2006,8,6,24.0,,,,,,,,,66.16033056179792,2006-08-08,2023-09-25,2006-07-30,2006-08-06,7
2006-0461-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,Alaska province,Heavy rain,,No,No,No,95940.0,Km2,2006,8,19,2006,8,24,,,150.0,,150.0,,,15500.0,23428.0,66.16033056179792,2007-01-07,2023-09-25,2006-08-19,2006-08-24,5
2006-0466-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Ernesto,USA,United States of America,Northern America,Americas,"South Carolina, North Carolina, Virginia provinces",,Flood,No,No,No,119.0,Kph,2006,8,2,2006,9,7,6.0,,140.0,,140.0,,,32860.0,49667.0,66.16033056179792,2007-01-08,2023-09-25,2006-08-02,2006-09-07,36
2006-0546-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Mercer, Jessamine, Franklin, Calloway, Montgomery districts (Kentucky province), Sharp, Clay, Fulton, Randolph, Lawrence districts (Arkansas province), Obion district (Tennessee province), Missouri, Indiana, Illinois provinces",Heavy rain,Rain,No,No,Yes,146000.0,Km2,2006,9,22,2006,9,26,14.0,10.0,1200.0,,1210.0,,,,,66.16033056179792,2007-03-15,2023-09-25,2006-09-22,2006-09-26,4
2006-0566-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Prince William Sound area (Valdez-Cordova district, Alaska province)",Heavy rain,,No,No,No,51560.0,Km2,2006,10,9,2006,10,14,,,100.0,,100.0,,,,,66.16033056179792,2007-01-07,2023-09-25,2006-10-09,2006-10-14,5
2006-0576-USA,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,USA,United States of America,Northern America,Americas,"Riverside, Palm Springs cities (Riverside district, California province), San Diego district (California province)",,,No,No,Yes,,Km2,2006,10,26,2006,10,27,4.0,1.0,,102.0,103.0,,,25000.0,37787.0,66.16033056179792,2008-03-28,2023-09-25,2006-10-26,2006-10-27,1
2006-0595-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"North Carolina, Alabama, Arizona, Arkansas, Louisiana, Maryland, Mississippi, Pennsylvania, South Dakota, Texas provinces",,Flood,No,No,No,,Kph,2006,11,15,2006,11,16,12.0,20.0,,,20.0,62500.0,94467.0,95000.0,143591.0,66.16033056179792,2008-03-28,2023-09-25,2006-11-15,2006-11-16,1
2006-0598-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Washington, Oregon provinces",Heavy rains,,No,No,No,57890.0,Km2,2006,11,5,2006,11,10,2.0,,1500.0,,1500.0,,,,,66.16033056179792,2007-01-07,2023-09-25,2006-11-05,2006-11-10,5
2006-0642-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"Erie, Niagara, Genesee, Orleans districts (New York province)",,Flood,No,No,Yes,,Kph,2006,10,12,2006,10,14,3.0,,,,,200000.0,302296.0,300000.0,453444.0,66.16033056179792,2007-03-18,2023-09-25,2006-10-12,2006-10-14,2
2006-0662-USA,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,USA,United States of America,Northern America,Americas,Ventura district (California province),,,No,No,Yes,,Km2,2006,12,3,2006,12,6,,,,15.0,15.0,,,25000.0,37787.0,66.16033056179792,2008-03-28,2023-09-25,2006-12-03,2006-12-06,3
2006-0704-USA,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,USA,United States of America,Northern America,Americas,Hawai province,,"Slide (land, mud, snow, rock)|Tsunami/Tidal wave",No,No,No,6.7,Moment Magnitude,2006,10,15,2006,10,15,,10.0,3519.0,,3529.0,40000.0,60459.0,150000.0,226722.0,66.16033056179792,2007-01-03,2023-09-25,2006-10-15,2006-10-15,0
2006-0706-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Daytona beach (Volusia district, Florida province)",,,No,No,No,193.0,Kph,2006,12,25,2006,12,25,,,600.0,,600.0,56000.0,84643.0,90000.0,136033.0,66.16033056179792,2008-03-28,2023-09-25,2006-12-25,2006-12-25,0
2006-0707-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,Colorado provinces,,,No,No,Yes,,Kph,2006,12,21,2006,12,21,,,,,,,,,,66.16033056179792,2007-01-08,2023-09-25,2006-12-21,2006-12-21,0
2006-0718-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,Kansas province,,,No,No,Yes,,Kph,2006,12,27,2006,12,31,,,,,,,,360000.0,544133.0,66.16033056179792,2007-02-05,2023-09-25,2006-12-27,2006-12-31,4
2006-0743-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Illinois, Indiana, Kentucky, Missouri, New York, Ohio, Pennsylvania, Tennessee provinces",,Rain,No,No,No,,Kph,2006,11,30,2006,12,3,11.0,,,,,450000.0,680166.0,,,66.16033056179792,2007-03-18,2023-09-25,2006-11-30,2006-12-03,3
2006-0744-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Oregon, Washington provinces",,,No,No,No,,Kph,2006,12,14,2006,12,15,10.0,,,,,200000.0,302296.0,,,66.16033056179792,2007-03-18,2023-09-25,2006-12-14,2006-12-15,1
2006-0759-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),East Amarillo Complex Fire,USA,United States of America,Northern America,Americas,Texas,,,No,No,No,,Km2,2006,3,1,2006,3,1,12.0,,,300.0,300.0,,,150000.0,226722.0,66.16033056179792,2024-03-11,2024-04-09,2006-03-01,2006-03-01,0
2007-0026-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"California, Texas, Georgia, South Carolina, Oklahoma, Missouri, Iowa, Michigan, New York, Maine, Kansas, Illinois provinces",,Cold wave|Rain,No,No,Yes,,Kph,2007,1,12,2007,1,17,65.0,220.0,,,220.0,200000.0,293912.0,500000.0,734779.0,68.0476738315874,2008-03-28,2023-09-25,2007-01-12,2007-01-17,5
2007-0041-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Indiana, Arkansas, Texas, Ohio, Missouri provinces",Heavy rains,,No,No,No,434.4,Km2,2007,1,15,2007,1,25,24.0,,,,,,,,,68.0476738315874,2007-02-01,2023-09-25,2007-01-15,2007-01-25,10
2007-0048-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Volusia, Lake, Sumter, Seminole districts (Florida province)",,,No,No,Yes,265.0,Kph,2007,2,2,2007,2,2,20.0,,6600.0,,6600.0,100000.0,146956.0,130000.0,191043.0,68.0476738315874,2008-08-04,2023-09-25,2007-02-02,2007-02-02,0
2007-0066-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"New York, Vermont, New Jersey, Ohio, Pennsylvania provinces",,Cold wave,No,No,No,64.0,Kph,2007,2,14,2007,2,15,16.0,,,,,100000.0,146956.0,140000.0,205738.0,68.0476738315874,2008-01-03,2023-09-25,2007-02-14,2007-02-15,1
2007-0083-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Alabama, Missouri, Georgia, Minnesota provinces",,,No,No,No,,Kph,2007,3,1,2007,3,2,20.0,20.0,,,20.0,450000.0,661301.0,600000.0,881735.0,68.0476738315874,2008-04-16,2023-09-25,2007-03-01,2007-03-02,1
2007-0156-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,Texas province,,Flood,No,No,No,240.0,Kph,2007,4,24,2007,4,26,10.0,80.0,,200.0,280.0,,,,,68.0476738315874,2008-03-27,2023-09-25,2007-04-24,2007-04-26,2
2007-0173-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Texas, Kansas, Oklahoma provinces",Heavy rain,,No,No,No,341.3,Km2,2007,5,24,2007,5,29,8.0,,100.0,,100.0,,,,,68.0476738315874,2007-06-15,2023-09-25,2007-05-24,2007-05-29,5
2007-0244-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Wichita Falls area (Wichita district, Texas province), Georgetown areas (Williamson district, Texas province), Burnet, Marble Falls, Granite Shoals areas (Burnet district, Texas province), Granbury area (Hood district, Texas province), Lampasas, Parker, Eastland districts (Texas province), Miami, Commerce areas (Ottawa district, Oklahoma province), Shawnee, Tecumseh, Maud areas (Pottawatomie district, Oklahoma province), Oklahoma city (Oklahoma district, Oklahoma province), Waurika area (Jefferson district, Oklahoma province), Bartlesville, Dewey areas (Washington district, Oklahoma province), Love, Lincoln districts (Oklahoma province), Coffeyville area (Montgomery district, Kansas province), Osawatomie area (Miami district, Kansas province), Allen, Labette, Neosho, Wilson, Woodson districts (Kansas province), Rockville, Papinville areas (Bates district, Missouri province), Vernon district (Missouri province)",Heavy rain,Rain,No,No,No,507800.0,Km2,2007,6,26,2007,7,6,8.0,,5000.0,,5000.0,,,,,68.0476738315874,2008-01-03,2023-09-25,2007-06-26,2007-07-06,10
2007-0251-USA,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,USA,United States of America,Northern America,Americas,New York province,Brief torrential rain,Rain,No,No,No,6500.0,Km2,2007,6,19,2007,6,20,4.0,,120.0,,120.0,,,,,68.0476738315874,2007-07-13,2023-09-25,2007-06-19,2007-06-20,1
2007-0254-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"North Texas, Oklahoma provinces",Heavy rain,,No,No,No,34750.0,Km2,2007,6,17,2007,6,22,10.0,,750.0,,750.0,,,28000.0,41148.0,68.0476738315874,2007-07-13,2023-09-25,2007-06-17,2007-06-22,5
2007-0351-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Alpine, Amador, Calaveras, El Dorado, Mono, Placer, Tuolumne districts (California province)",,,No,No,No,,Km2,2007,6,24,2007,7,2,,,,768.0,768.0,150000.0,220434.0,,,68.0476738315874,2008-10-21,2023-09-25,2007-06-24,2007-07-02,8
2007-0359-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Erin,USA,United States of America,Northern America,Americas,"Texas, Oklahoma, Missouri provinces",,Flood,No,No,No,132.0,Kph,2007,8,16,2007,8,19,7.0,,,,,,,,,68.0476738315874,2008-03-11,2023-09-25,2007-08-16,2007-08-19,3
2007-0383-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Illinois, Colorado, Michigan, Minnesota, Wisconsin, Ohio, Oklahoma, North Dakota provinces",Heavy rains,"Rain|Slide (land, mud, snow, rock)",No,No,No,1217000.0,Km2,2007,8,16,2007,8,27,26.0,40.0,2800.0,,2840.0,450000.0,661301.0,700000.0,1028691.0,68.0476738315874,2008-03-28,2023-09-25,2007-08-16,2007-08-27,11
2007-0519-USA,No,nat-cli-wil-lan,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,USA,United States of America,Northern America,Americas,"Los Angeles, Orange, Riverside, San Bernardino, San Diego, Santa Barbara, Ventura districts (California province)",,Storm,No,No,Yes,,Km2,2007,10,21,2007,10,24,8.0,64.0,640000.0,,640064.0,1900000.0,2792160.0,2500000.0,3673895.0,68.0476738315874,2008-03-12,2023-09-25,2007-10-21,2007-10-24,3
2007-0579-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Malibu area (Los Angeles district, California province)",,,No,No,No,,Km2,2007,11,24,2007,11,27,,,10000.0,159.0,10159.0,,,315000.0,462911.0,68.0476738315874,2008-03-12,2023-09-25,2007-11-24,2007-11-27,3
2007-0581-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Washington, Oregon provinces",,"Flood|Slide (land, mud, snow, rock)",No,No,Yes,160.0,Kph,2007,12,3,2007,12,7,17.0,28.0,1100.0,,1128.0,200000.0,293912.0,1000000.0,1469558.0,68.0476738315874,2008-03-11,2023-09-25,2007-12-03,2007-12-07,4
2007-0621-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Illinois, Iowa, Missouri, Minnesota, Kansas, Nebraska, Colorado, Michigan, Wisconsin, Wyoming provinces",,Transport accident,No,No,No,109.0,Kph,2007,12,23,2007,12,26,22.0,,,,,,,,,68.0476738315874,2008-03-12,2023-09-25,2007-12-23,2007-12-26,3
2007-0641-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Oklahoma, Missouri, Iowa, Illinois, Kansas, Nebraska, Connecticut, Michigan, New York, New Jersey, Pennsylvania, Rhode Island provinces",,Transport accident,No,No,No,,Kph,2007,12,9,2007,12,11,24.0,2.0,,,2.0,450000.0,661301.0,500000.0,734779.0,68.0476738315874,2008-03-28,2023-09-25,2007-12-09,2007-12-11,2
2007-0662-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Colorado, Iowa, Kansas, Minnesota, Missouri, Nebraska, Oklahoma, South Dakota provinces",,Flood|Hail,No,No,No,,Kph,2007,5,4,2007,5,8,12.0,40.0,,,40.0,200000.0,293912.0,350000.0,514345.0,68.0476738315874,2008-03-11,2023-09-25,2007-05-04,2007-05-08,4
2007-0663-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Texas, Delaware, Connecticut, Georgia, Louisiana, Massachusetts, Maine, Maryland, Mississippi, New Hampshire, New Jersey, New York, North Carolina, Pennsylvania, Rhode Island, South Carolina, Vermont, Virginia provinces",,Flood|Hail,No,No,No,,Kph,2007,4,13,2007,4,17,23.0,,,,,1566000.0,2301328.0,2000000.0,2939116.0,68.0476738315874,2008-03-11,2023-11-10,2007-04-13,2007-04-17,4
2007-0689-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Arkansas, Iowa, Texas",,Cold wave,No,No,No,,Kph,2007,2,23,2007,2,25,4.0,27.0,,,27.0,200000.0,293912.0,300000.0,440867.0,68.0476738315874,2008-03-28,2023-09-25,2007-02-23,2007-02-25,2
2007-0690-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Iowa, Kansas, Minnesota, Texas, Wisconsin provinces",,Hail,No,No,No,128.0,Kph,2007,5,21,2007,5,25,5.0,,,,,200000.0,293912.0,300000.0,440867.0,68.0476738315874,2008-03-28,2023-09-25,2007-05-21,2007-05-25,4
2007-9548-USA,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,USA,United States of America,Northern America,Americas,"California, Georgia, Maryland provinces",Lack of precipitation,,No,No,Yes,,Km2,2007,10,1,2009,6,1,,,,,,,,300000.0,440867.0,68.0476738315874,2009-07-16,2023-09-25,2007-10-01,2009-06-01,609
2008-0010-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"California, Nevada, Oregon provinces",Heavy rains,Broken Dam/Burst bank|Rain,No,No,No,550.0,Km2,2008,1,5,2008,1,9,2.0,,1500.0,,1500.0,,,,,70.66008903450533,2008-11-19,2023-09-25,2008-01-05,2008-01-09,4
2008-0039-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Tennessee, Arkansas, Kentucky, Mississippi, Alabama, Indiana, Texas, Illinois, Ohio, Missouri provinces",,Flood|Hail,No,No,Yes,,Kph,2008,2,5,2008,2,6,59.0,150.0,,,150.0,955000.0,1351541.0,1300000.0,1839794.0,70.66008903450533,2009-03-18,2023-09-25,2008-02-05,2008-02-06,1
2008-0099-USA,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,USA,United States of America,Northern America,Americas,"Wells city (Elko district, Nevada province)",,,No,No,No,5.9,Moment Magnitude,2008,2,21,2008,2,21,,3.0,2100.0,,2103.0,,,,,70.66008903450533,2008-04-14,2023-09-25,2008-02-21,2008-02-21,0
2008-0115-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Fulton, DeKalb, Cobb, Clayton, Gwinnett districts (Georgia province)",,Flood|Hail,No,No,Yes,217.0,Kph,2008,3,14,2008,3,14,2.0,27.0,150.0,,177.0,450000.0,636852.0,450000.0,636852.0,70.66008903450533,2009-03-18,2023-09-25,2008-03-14,2008-03-14,0
2008-0131-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Missouri, Mississippi, Arkansas, Indiana, Illinois, Ohio, Kentucky, Oklahoma, Iowa, Wisconsin, Texas provinces",Rain and snowmelt,Broken Dam/Burst bank,No,No,Yes,565200.0,Km2,2008,3,17,2008,4,20,18.0,,1000.0,,1000.0,,,2000.0,2830.0,70.66008903450533,2008-04-28,2023-09-25,2008-03-17,2008-04-20,34
2008-0194-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Kansas, Maryland, Missouri, North Carolina, Virginia, Texas, Oklahoma, Georgia, Arkansas provinces","Cold front meeting warm, moist air",Flood|Hail,No,No,Yes,280.0,Kph,2008,5,10,2008,5,12,22.0,150.0,,,150.0,450000.0,636852.0,700000.0,990658.0,70.66008903450533,2009-03-18,2023-09-25,2008-05-10,2008-05-12,2
2008-0210-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Dunkerton city (Black Hawk district, Iowa province), Parkesburg, New Hartford cities (Butler district, Iowa province), Cedar Rapids city (Linn district, Iowa province), Minnesota, Indiana, Illinois, Kansas, Michigan, Montana, Missouri, Nebraska, Wisconsin provinces",,Broken Dam/Burst bank|Flood,No,No,Yes,,Kph,2008,5,22,2008,5,26,7.0,70.0,,,70.0,1325000.0,1875175.0,1600000.0,2264362.0,70.66008903450533,2009-03-18,2023-11-10,2008-05-22,2008-05-26,4
2008-0253-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,California province,"Lightening, drought, wind",,No,No,Yes,3500.0,Km2,2008,6,20,2008,7,9,1.0,,,300.0,300.0,,,102000.0,144353.0,70.66008903450533,2008-08-12,2023-09-25,2008-06-20,2008-07-09,19
2008-0304-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Hurricane Dolly,USA,United States of America,Northern America,Americas,"Panama city beach (Bay district, Florida province), Aransas, Bexar, Brooks, Calhoun, Cameron, Hidalgo, Jim Wells, Kenedy, Kleberg, Nueces, Refugio, San Patricio, Starr, Victoria, Willacy districts (Texas province)",,Flood|Transport accident,No,No,Yes,160.0,Kph,2008,7,23,2008,7,23,,,,,,600000.0,849136.0,1200000.0,1698271.0,70.66008903450533,2009-01-06,2023-09-25,2008-07-23,2008-07-23,0
2008-0338-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,"Tropical Storm ""Fay""",USA,United States of America,Northern America,Americas,"Florida, Georgia, Alabama, Mississippi provinces",,Flood,No,No,Yes,100.0,Kph,2008,8,20,2008,8,28,12.0,,400.0,,400.0,,,180000.0,254741.0,70.66008903450533,2009-01-06,2023-09-25,2008-08-20,2008-08-28,8
2008-0352-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,"Hurricane ""Gustav""",USA,United States of America,Northern America,Americas,"Louisiana, Mississippi, Texas, Alabama provinces",,,No,No,No,,Kph,2008,9,1,2008,9,1,43.0,,2100000.0,,2100000.0,3500000.0,4953291.0,7000000.0,9906582.0,70.66008903450533,2009-01-14,2023-09-25,2008-09-01,2008-09-01,0
2008-0378-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Hurricane 'Hanna',USA,United States of America,Northern America,Americas,"Florida, North Carolina, Maryland provinces",,,No,No,Yes,,Kph,2008,8,28,2008,8,28,7.0,,,,,,,160000.0,226436.0,70.66008903450533,2009-01-12,2023-09-25,2008-08-28,2008-08-28,0
2008-0384-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,Hurricane Ike,USA,United States of America,Northern America,Americas,"Galveston, Brazoria, Harris, Chambers, Jefferson districts (Texas province), Louisiana, Tennessee, Arkansas, Ohio, Indiana, Illinois, Missouri, Kentucky, Pennsylvania, Michigan provinces",,Flood,No,No,No,200.0,Kph,2008,9,12,2008,9,16,82.0,,200000.0,,200000.0,15000000.0,21228391.0,30000000.0,42456782.0,70.66008903450533,2008-11-18,2023-09-25,2008-09-12,2008-09-16,4
2008-0524-USA,No,nat-cli-wil-wil,Natural,Climatological,Wildfire,Wildfire (General),,USA,United States of America,Northern America,Americas,"Los Angeles, Orange, Riverside, Santa Barbara districts (California province)",,,No,No,Yes,,Km2,2008,11,13,2008,11,18,,20.0,55000.0,,55020.0,600000.0,849136.0,2000000.0,2830452.0,70.66008903450533,2009-01-14,2023-09-25,2008-11-13,2008-11-18,5
2008-0563-USA,No,nat-met-ext-sev,Natural,Meteorological,Extreme temperature,Severe winter conditions,,USA,United States of America,Northern America,Americas,"Maine, Massachusetts, New Hampshire, New York, Vermont provinces",,,No,No,Yes,,°C,2008,12,11,2008,12,14,,,,,,,,,,70.66008903450533,2009-01-06,2023-09-25,2008-12-11,2008-12-14,3
2008-0599-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Arkansas, Illinois, Indiana, Kentucky, Missouri, New York, Ohio, Tennessee, Alabama, Mississippi provinces",,,No,No,No,,Kph,2008,1,29,2008,1,30,4.0,,,,,,,600000.0,849136.0,70.66008903450533,2009-01-06,2023-09-25,2008-01-29,2008-01-30,1
2008-0600-USA,No,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,,USA,United States of America,Northern America,Americas,"Arkansas, California, Colorado, Illinois, Indiana, Kansas, Michigan, Missouri, New York, Ohio, Oklahoma, Oregon, Washington, Wisconsin provinces",,,No,No,No,175.0,Kph,2008,1,4,2008,1,9,12.0,,,,,745000.0,1054343.0,1000000.0,1415226.0,70.66008903450533,2009-03-02,2023-09-25,2008-01-04,2008-01-09,5
2008-0601-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Arkansas, Oklahoma, Texas provinces",,,No,No,No,,Kph,2008,4,9,2008,4,11,3.0,,,,,800000.0,1132181.0,1100000.0,1556749.0,70.66008903450533,2009-01-06,2023-09-25,2008-04-09,2008-04-11,2
2008-0627-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,"Illinois, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Wisconsin provinces",,Broken Dam/Burst bank,No,No,No,,Km2,2008,6,9,2008,6,30,24.0,148.0,11000000.0,,11000148.0,400000.0,566090.0,10000000.0,14152261.0,70.66008903450533,2009-03-18,2023-09-25,2008-06-09,2008-06-30,21
