"disaster_number","historic","classification_key","disaster_group","disaster_subgroup","disaster_type","disaster_subtype","origin","associated_types","ofda_bha_response","appeal","declaration","magnitude","magnitude_scale","start_date","end_date","entry_date","last_update"
"2000-0919-USA","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)",NULL,"Cold wave","No","No","No",NULL,"Kph","2000-01-22","2000-01-25","2007-01-17","2023-09-25"
"2000-0937-USA","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)",NULL,NULL,"No","No","No",NULL,"Kph","2000-12-16","2000-12-17","2006-07-20","2023-09-25"
"2000-9339-USA","No","nat-cli-dro-dro","Natural","Climatological","Drought","Drought",NULL,NULL,"No","No","Yes",NULL,"Km2","2000-06-01","2002-06-01","2006-02-28","2023-09-25"
"2000-9712-USA","No","nat-cli-dro-dro","Natural","Climatological","Drought","Drought",NULL,"Wildfire","No","No","No",NULL,"Km2","2000-11-01","2000-11-01","2006-02-28","2023-09-25"
"2001-0099-USA","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,NULL,"No","No","No","6.8","Moment Magnitude","2001-02-28","2001-02-28","2003-09-05","2023-09-25"
"2001-0102-USA","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","No",NULL,"Kph","2001-02-24","2001-02-24","2003-07-01","2023-09-25"
"2001-0106-USA","No","nat-met-sto-bli","Natural","Meteorological","Storm","Blizzard/Winter storm",NULL,"Transport accident","No","No","No",NULL,"Kph","2001-02-22","2001-02-22","2003-07-01","2023-09-25"
"2001-0145-USA","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,"Hail","No","No","No",NULL,"Kph","2001-04-10","2001-04-11","2003-07-01","2023-09-25"
"2001-0194-USA","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","No",NULL,"Kph","2001-03-29","2001-03-29","2003-07-01","2023-09-25"
"2001-0242-USA","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood","No","No","Yes",NULL,"Kph","2001-06-05","2001-06-17","2006-10-11","2023-09-25"
"2001-0262-USA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Ice jam/break",NULL,"No","No","No","24","Km2","2001-02-27","2001-03-01","2005-09-19","2023-09-25"
"2001-0266-USA","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)",NULL,"Flood|Snow/ice","No","No","No",NULL,"Kph","2001-03-20","2001-03-20","2003-07-01","2023-09-25"
"2001-0268-USA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Snowmelt",NULL,"No","No","No","63380","Km2","2001-04-15","2001-05-15","2005-09-19","2023-09-25"
"2001-0270-USA","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","No",NULL,"Kph","2001-04-21","2001-04-21","2003-07-01","2023-09-25"
"2001-0303-USA","No","nat-cli-wil-for","Natural","Climatological","Wildfire","Forest fire",NULL,NULL,"No","No","No","1030","Km2","2001-04-01","2001-04-01","2003-07-01","2023-09-25"
"2001-0351-USA","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","No",NULL,"Kph","2001-06-14","2001-06-14","2003-07-01","2023-09-25"
"2001-0451-USA","No","nat-cli-wil-for","Natural","Climatological","Wildfire","Forest fire",NULL,NULL,"No","No","No","797","Km2","2001-08-01","2001-08-01","2003-07-01","2023-09-25"
"2001-0460-USA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rain","Slide (land, mud, snow, rock)","No","No","No","8530","Km2","2001-07-08","2001-07-09","2005-09-20","2023-09-25"
"2001-0473-USA","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","No",NULL,"Kph","2001-06-18","2001-06-18","2003-07-01","2023-09-25"
"2001-0474-USA","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","No",NULL,"Kph","2001-06-13","2001-06-13","2003-07-01","2023-09-25"
"2001-0477-USA","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)",NULL,"Hail","No","No","No",NULL,"Kph","2001-06-21","2001-06-21","2003-07-01","2023-09-25"
"2001-0564-USA","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","No",NULL,"Kph","2001-10-10","2001-10-10","2003-07-01","2023-09-25"
"2001-0566-USA","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","No",NULL,"Kph","2001-09-24","2001-09-24","2003-07-01","2023-09-25"
"2001-0601-USA","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","No",NULL,"Kph","2001-10-11","2001-10-11","2003-07-01","2023-09-25"
"2001-0602-USA","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","No",NULL,"Kph","2001-10-12","2001-10-12","2003-07-01","2023-09-25"
"2001-0722-USA","No","nat-cli-wil-for","Natural","Climatological","Wildfire","Forest fire",NULL,NULL,"No","No","No","283","Km2","2001-10-30","2001-10-30","2003-07-01","2023-09-25"
"2001-0724-USA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rain",NULL,"No","No","No","7730","Km2","2001-11-15","2001-11-19","2005-09-21","2023-09-25"
"2001-0770-USA","No","nat-met-ext-hea","Natural","Meteorological","Extreme temperature","Heat wave",NULL,NULL,"No","No","No",NULL,"°C","2001-08-01","2001-08-01","2003-07-01","2023-09-25"
"2001-0771-USA","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)",NULL,NULL,"No","No","No",NULL,"Kph","2001-08-01","2001-08-01","2003-07-01","2023-09-25"
"2001-0772-USA","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)",NULL,NULL,"No","No","No",NULL,"Km2","2001-08-01","2001-08-01","2003-07-01","2023-09-25"
"2001-0773-USA","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","No",NULL,"Kph","2001-08-17","2001-08-17","2003-07-01","2023-09-25"
"2002-0017-USA","No","nat-met-sto-bli","Natural","Meteorological","Storm","Blizzard/Winter storm",NULL,"Transport accident","No","No","No","114","Kph","2002-01-01","2002-01-01","2003-07-01","2023-09-25"
"2002-0092-USA","No","nat-cli-wil-for","Natural","Climatological","Wildfire","Forest fire",NULL,NULL,"No","No","No","23","Km2","2002-02-10","2002-02-10","2005-05-03","2023-09-25"
"2002-0119-USA","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)",NULL,NULL,"No","No","No",NULL,"Kph","2002-01-30","2002-02-08","2005-05-04","2023-09-25"
"2002-0128-USA","No","nat-met-sto-bli","Natural","Meteorological","Storm","Blizzard/Winter storm",NULL,"Transport accident","No","No","No",NULL,"Kph","2002-03-01","2002-03-01","2005-05-09","2023-09-25"
"2002-0165-USA","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)",NULL,"Flood|Slide (land, mud, snow, rock)","No","No","No",NULL,"Kph","2002-03-19","2002-03-19","2006-11-29","2023-09-25"
"2002-0183-USA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rain",NULL,"No","No","No","35390","Km2","2002-03-17","2002-03-24","2005-09-21","2024-10-25"
"2002-0184-USA","No","nat-cli-wil-for","Natural","Climatological","Wildfire","Forest fire",NULL,NULL,"No","No","No","149","Km2","2002-03-01","2002-03-01","2003-07-01","2023-09-25"
"2002-0266-USA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rain",NULL,"No","No","No",NULL,"Km2","2002-05-02","2002-05-08","2005-09-22","2023-09-25"
"2002-0283-USA","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","No",NULL,"Kph","2002-05-05","2002-05-05","2003-07-01","2023-09-25"
"2002-0287-USA","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","No",NULL,"Kph","2002-04-21","2002-04-21","2003-07-01","2023-09-25"
"2002-0310-USA","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","Yes","290","Kph","2002-04-27","2002-05-03","2006-09-17","2023-09-25"
"2002-0312-USA","No","nat-cli-wil-lan","Natural","Climatological","Wildfire","Land fire (Brush, Bush, Pasture)",NULL,NULL,"No","No","No","145","Km2","2002-04-01","2002-04-01","2003-07-01","2023-09-25"
"2002-0331-USA","No","nat-cli-wil-for","Natural","Climatological","Wildfire","Forest fire",NULL,NULL,"No","No","No","414","Km2","2002-05-01","2002-05-01","2003-07-01","2023-09-25"
"2002-0351-USA","No","nat-cli-wil-for","Natural","Climatological","Wildfire","Forest fire",NULL,NULL,"No","No","No","770","Km2","2002-06-08","2002-06-08","2003-07-01","2023-09-25"
"2002-0355-USA","No","nat-met-ext-hea","Natural","Meteorological","Extreme temperature","Heat wave",NULL,NULL,"No","No","No",NULL,"°C","2002-06-01","2002-06-01","2003-07-01","2023-09-25"
"2002-0379-USA","No","nat-cli-wil-for","Natural","Climatological","Wildfire","Forest fire",NULL,NULL,"No","No","No","1320","Km2","2002-06-20","2002-06-20","2003-07-01","2023-09-25"
"2002-0411-USA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rain",NULL,"No","No","No","108300","Km2","2002-06-30","2002-07-23","2005-09-23","2023-09-25"
"2002-0502-USA","No","nat-bio-epi-vir","Natural","Biological","Epidemic","Viral disease",NULL,NULL,"No","No","No",NULL,"Vaccinated","2002-07-09","2002-11-26","2005-06-22","2023-09-25"
"2002-0569-USA","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","No",NULL,"Kph","2002-09-05","2002-09-05","2003-07-01","2023-09-25"
"2002-0600-USA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rain",NULL,"No","No","No","5460","Km2","2002-09-21","2002-09-24","2005-09-26","2023-09-25"
"2002-0618-USA","No","nat-cli-wil-for","Natural","Climatological","Wildfire","Forest fire",NULL,NULL,"No","No","No","93","Km2","2002-09-22","2002-09-22","2003-07-01","2023-09-25"
"2002-0625-USA","No","nat-cli-wil-for","Natural","Climatological","Wildfire","Forest fire",NULL,NULL,"No","No","No","2023","Km2","2002-07-01","2002-07-01","2003-07-01","2023-09-25"
"2002-0652-USA","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,NULL,"No","No","No","105","Kph","2002-09-26","2002-09-27","2008-03-21","2023-09-25"
"2002-0667-USA","No","nat-bio-epi-dis","Natural","Biological","Epidemic","Infectious disease (General)",NULL,NULL,"No","No","No",NULL,"Vaccinated","2002-10-16","2002-10-16","2003-07-01","2023-09-25"
"2002-0700-USA","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","No","200","Kph","2002-11-05","2002-11-10","2006-01-13","2023-09-25"
"2002-0724-USA","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood","No","No","No",NULL,"Kph","2002-10-03","2002-10-03","2008-03-21","2023-09-25"
"2002-0751-USA","No","nat-met-sto-bli","Natural","Meteorological","Storm","Blizzard/Winter storm",NULL,NULL,"No","No","No",NULL,"Kph","2002-12-04","2002-12-05","2003-07-01","2023-09-25"
"2002-0793-USA","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)",NULL,NULL,"No","No","No",NULL,"Kph","2002-12-19","2002-12-19","2003-07-01","2023-09-25"
"2002-0802-USA","No","nat-met-sto-bli","Natural","Meteorological","Storm","Blizzard/Winter storm",NULL,NULL,"No","No","No",NULL,"Kph","2002-12-23","2002-12-23","2003-07-01","2023-09-25"
"2002-0880-USA","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)",NULL,NULL,"No","No","No",NULL,"Kph","2002-05-30","2002-06-01","2006-07-20","2023-09-25"
"2002-9853-USA","No","nat-cli-dro-dro","Natural","Climatological","Drought","Drought",NULL,NULL,"No","No","No",NULL,"Km2","2002-07-01","2002-08-01","2006-03-08","2023-09-25"
"2003-0085-USA","No","nat-met-sto-bli","Natural","Meteorological","Storm","Blizzard/Winter storm",NULL,NULL,"No","No","Yes",NULL,"Kph","2003-02-14","2003-02-18","2004-03-10","2023-09-25"
"2003-0139-USA","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,"Flood|Hail","No","No","No",NULL,"Kph","2003-03-18","2003-03-20","2008-03-30","2023-09-25"
"2003-0147-USA","No","nat-met-sto-bli","Natural","Meteorological","Storm","Blizzard/Winter storm",NULL,"Transport accident","No","No","No",NULL,"Kph","2003-03-20","2003-03-20","2003-10-06","2023-09-25"
"2003-0210-USA","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","Yes",NULL,"Kph","2003-05-04","2003-05-10","2004-03-10","2023-09-25"
"2003-0299-USA","No","nat-cli-wil-for","Natural","Climatological","Wildfire","Forest fire",NULL,NULL,"No","No","No","16","Km2","2003-06-17","2003-06-20","2003-06-26","2023-09-25"
"2003-0334-USA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains","Rain","No","No","No","150500","Km2","2003-07-05","2003-07-21","2004-01-23","2023-09-25"
"2003-0413-USA","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","No",NULL,"Kph","2003-08-08","2003-08-08","2003-08-27","2023-09-25"
"2003-0468-USA","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood","No","No","Yes","170","Kph","2003-09-18","2003-09-22","2006-01-13","2023-09-25"
"2003-0511-USA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains",NULL,"No","No","No",NULL,"Km2","2003-10-17","2003-10-26","2004-01-27","2023-09-25"
"2003-0518-USA","No","nat-cli-wil-for","Natural","Climatological","Wildfire","Forest fire",NULL,NULL,"No","No","Yes","1133","Km2","2003-10-25","2003-11-04","2004-03-10","2023-09-25"
"2003-0595-USA","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)",NULL,"Flood|Slide (land, mud, snow, rock)","No","No","No",NULL,"Kph","2003-11-20","2003-11-20","2003-12-08","2023-09-25"
"2003-0618-USA","No","nat-met-sto-bli","Natural","Meteorological","Storm","Blizzard/Winter storm",NULL,"Transport accident","No","No","No",NULL,"Kph","2003-12-06","2003-12-07","2003-12-22","2023-09-25"
"2003-0623-USA","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,NULL,"No","No","Yes","6.5","Moment Magnitude","2003-12-22","2003-12-22","2014-03-25","2023-09-25"
"2003-0633-USA","No","nat-hyd-mmw-mud","Natural","Hydrological","Mass movement (wet)","Mudslide","Heavy rains",NULL,"No","No","No",NULL,NULL,"2003-12-25","2003-12-26","2004-01-28","2023-09-25"
"2003-0663-USA","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Brief torrential rain",NULL,"No","No","Yes","250","Km2","2003-11-12","2003-11-13","2004-03-03","2023-09-25"
"2003-0741-USA","No","nat-met-sto-sto","Natural","Meteorological","Storm","Storm (General)","Rain and snow","Flood","No","No","No",NULL,"Kph","2003-02-15","2003-02-23","2004-03-10","2023-11-10"
"2003-0756-USA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains",NULL,"No","No","No","272100","Km2","2003-05-06","2003-05-14","2004-02-27","2023-09-25"
"2003-0780-USA","No","nat-met-sto-tor","Natural","Meteorological","Storm","Tornado",NULL,NULL,"No","No","No",NULL,"Kph","2003-05-30","2003-05-30","2004-03-03","2023-09-25"
